month,hour,weather,prob
4,6,rain,0.0814
4,6,snow,0.0
4,7,clear,0.9132
4,7,rain,0.0868
4,7,snow,0.0
4,8,clear,0.9102
4,8,rain,0.0898
4,8,snow,0.0
4,9,clear,0.9102
4,9,rain,0.0898
4,9,snow,0.0
4,10,clear,0.9153
4,10,rain,0.0847
4,10,snow,0.0
4,11,clear,0.9145
4,11,rain,0.0855
4,11,snow,0.0
4,12,clear,0.9174
4,12,rain,0.0826
4,12,snow,0.0
4,13,clear,0.9174
4,13,rain,0.0826
4,13,snow,0.0
4,14,clear,0.9175
4,14,rain,0.0825
4,14,snow,0.0
4,15,clear,0.9191
4,15,rain,0.0809
4,15,snow,0.0
4,16,clear,0.9237
4,16,rain,0.0763
4,16,snow,0.0
4,17,clear,0.9327
4,17,rain,0.0673
4,17,snow,0.0
4,18,clear,0.9378
4,18,rain,0.0622
4,18,snow,0.0
4,19,clear,0.9425
4,19,rain,0.0575
4,19,snow,0.0
4,20,clear,0.944
4,20,rain,0.056
4,20,snow,0.0
4,21,clear,0.942
4,21,rain,0.058
4,21,snow,0.0
4,22,clear,0.9423
4,22,rain,0.0577
4,22,snow,0.0
4,23,clear,0.9409
4,23,rain,0.0591
4,23,snow,0.0
5,0,clear,0.9149
5,0,rain,0.0851
5,0,snow,0.0
5,1,clear,0.9191
5,1,rain,0.0809
5,1,snow,0.0
5,2,clear,0.9207
5,2,rain,0.0793
5,2,snow,0.0
5,3,clear,0.92
5,3,rain,0.08
5,3,snow,0.0
5,4,clear,0.927
5,4,rain,0.073
5,4,snow,0.0
5,5,clear,0.9287
5,5,rain,0.0713
5,5,snow,0.0
5,6,clear,0.9335
5,6,rain,0.0665
5,6,snow,0.0
5,7,clear,0.9344
5,7,rain,0.0656
5,7,snow,0.0
5,8,clear,0.9369
5,8,rain,0.0631
5,8,snow,0.0
5,9,clear,0.9367
5,9,rain,0.0633
5,9,snow,0.0
5,10,clear,0.9388
5,10,rain,0.0612
5,10,snow,0.0
5,11,clear,0.9386
5,11,rain,0.0614
5,11,snow,0.0
5,12,clear,0.9364
5,12,rain,0.0636
5,12,snow,0.0
5,13,clear,0.9364
5,13,rain,0.0636
5,13,snow,0.0
5,14,clear,0.9337
5,14,rain,0.0663
5,14,snow,0.0
5,15,clear,0.9311
5,15,rain,0.0689
5,15,snow,0.0
5,16,clear,0.9257
5,16,rain,0.0743
5,16,snow,0.0
5,17,clear,0.9241
5,17,rain,0.0759
5,17,snow,0.0
5,18,clear,0.9241
5,18,rain,0.0759
5,18,snow,0.0
5,19,clear,0.9255
5,19,rain,0.0745
5,19,snow,0.0
5,20,clear,0.9241
5,20,rain,0.0759
5,20,snow,0.0
5,21,clear,0.9171
5,21,rain,0.0829
5,21,snow,0.0
5,22,clear,0.9174
5,22,rain,0.0826
5,22,snow,0.0
5,23,clear,0.9174
5,23,rain,0.0826
5,23,snow,0.0
6,0,clear,0.9107
6,0,rain,0.0893
6,0,snow,0.0
6,1,clear,0.9066
6,1,rain,0.0934
6,1,snow,0.0
6,2,clear,0.8993
6,2,rain,0.1007
6,2,snow,0.0
6,3,clear,0.8947
6,3,rain,0.1053
6,3,snow,0.0
6,4,clear,0.894
6,4,rain,0.106
6,4,snow,0.0
6,5,clear,0.8915
6,5,rain,0.1085
6,5,snow,0.0
6,6,clear,0.8894
6,6,rain,0.1106
6,6,snow,0.0
6,7,clear,0.8924
6,7,rain,0.1076
6,7,snow,0.0
6,8,clear,0.9016
6,8,rain,0.0984
6,8,snow,0.0
6,9,clear,0.91
6,9,rain,0.09
6,9,snow,0.0
6,10,clear,0.9114
6,10,rain,0.0886
6,10,snow,0.0
6,11,clear,0.9139
6,11,rain,0.0861
6,11,snow,0.0
6,12,clear,0.9127
6,12,rain,0.0873
6,12,snow,0.0
6,13,clear,0.9122
6,13,rain,0.0878
6,13,snow,0.0
6,14,clear,0.9067
6,14,rain,0.0933
6,14,snow,0.0
6,15,clear,0.9083
6,15,rain,0.0917
6,15,snow,0.0
6,16,clear,0.9106
6,16,rain,0.0894
6,16,snow,0.0
6,17,clear,0.9101
6,17,rain,0.0899
6,17,snow,0.0
6,18,clear,0.9113
6,18,rain,0.0887
6,18,snow,0.0
6,19,clear,0.9097
6,19,rain,0.0903
6,19,snow,0.0
6,20,clear,0.9133
6,20,rain,0.0867
6,20,snow,0.0
6,21,clear,0.9145
6,21,rain,0.0855
6,21,snow,0.0
6,22,clear,0.9143
6,22,rain,0.0857
6,22,snow,0.0
6,23,clear,0.914
6,23,rain,0.086
6,23,snow,0.0
7,0,clear,0.8872
7,0,rain,0.1128
7,0,snow,0.0
7,1,clear,0.8759
7,1,rain,0.1241
7,1,snow,0.0
7,2,clear,0.8628
7,2,rain,0.1372
7,2,snow,0.0
7,3,clear,0.8494
7,3,rain,0.1506
7,3,snow,0.0
7,4,clear,0.8479
7,4,rain,0.1521
7,4,snow,0.0
7,5,clear,0.8368
7,5,rain,0.1632
7,5,snow,0.0
7,6,clear,0.8304
7,6,rain,0.1696
7,6,snow,0.0
7,7,clear,0.837
7,7,rain,0.163
7,7,snow,0.0
7,8,clear,0.8406
7,8,rain,0.1594
7,8,snow,0.0
7,9,clear,0.8514
7,9,rain,0.1486
7,9,snow,0.0
7,10,clear,0.8576
7,10,rain,0.1424
7,10,snow,0.0
7,11,clear,0.8568
7,11,rain,0.1432
7,11,snow,0.0
7,12,clear,0.8563
7,12,rain,0.1437
7,12,snow,0.0
7,13,clear,0.859
7,13,rain,0.141
7,13,snow,0.0
7,14,clear,0.861
7,14,rain,0.139
7,14,snow,0.0
7,15,clear,0.8623
7,15,rain,0.1377
7,15,snow,0.0
7,16,clear,0.8657
7,16,rain,0.1343
7,16,snow,0.0
